"section","table_name","column_name","ordinal_position","data_type","character_maximum_length","is_nullable","column_default"
"COLUMNS","partner_delivery_summary","total_articles",6,"bigint",NULL,"YES",NULL
"COLUMNS","partner_delivery_summary","delivery_count",7,"bigint",NULL,"YES",NULL
"COLUMNS","partner_delivery_summary","pending_second_validation",8,"bigint",NULL,"YES",NULL
"COLUMNS","partner_delivery_summary","rejected_deliveries",9,"bigint",NULL,"YES",NULL
"COLUMNS","partner_delivery_summary","remaining_balance",10,"bigint",NULL,"YES",NULL
"COLUMNS","partner_delivery_summary","delivery_percentage",11,"numeric",NULL,"YES",NULL
"COLUMNS","partner_expense_validations","id",1,"integer",NULL,"NO","nextval('partner_expense_validations_id_seq'::regclass)"
"COLUMNS","partner_expense_validations","expense_id",2,"integer",NULL,"YES",NULL
"COLUMNS","partner_expense_validations","validated_by",3,"integer",NULL,"YES",NULL
"COLUMNS","partner_expense_validations","validation_type",4,"character varying",20,"NO",NULL
"COLUMNS","partner_expense_validations","validation_comment",5,"text",NULL,"YES",NULL
"COLUMNS","partner_expense_validations","validated_at",6,"timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP"
"COLUMNS","users","id",1,"integer",NULL,"NO","nextval('users_id_seq'::regclass)"
"COLUMNS","users","username",2,"character varying",50,"NO",NULL
"COLUMNS","users","password_hash",3,"character varying",255,"NO",NULL
"COLUMNS","users","role",4,"character varying",20,"NO",NULL
"COLUMNS","users","full_name",5,"character varying",100,"NO",NULL
"COLUMNS","users","created_at",6,"timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP"
"COLUMNS","users","email",7,"character varying",255,"YES",NULL
"COLUMNS","users","is_active",8,"boolean",NULL,"YES","true"
"COLUMNS","users","updated_at",9,"timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP"
"COLUMNS","wallets","id",1,"integer",NULL,"NO","nextval('wallets_id_seq'::regclass)"
"COLUMNS","wallets","user_id",2,"integer",NULL,"YES",NULL
"COLUMNS","wallets","week_start_date",3,"date",NULL,"NO",NULL
"COLUMNS","wallets","initial_amount",4,"numeric",NULL,"NO",NULL
"COLUMNS","wallets","current_balance",5,"numeric",NULL,"NO",NULL
"COLUMNS","wallets","created_at",6,"timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP"
